Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Learncafe,https://www.crunchbase.com/organization/learncafe,"Digital Entertainment, E-Learning, Education, Fitness, Social Network, Training","Belo Horizonte, Minas Gerais, Brazil",LearnCafe offers a distance learning portal which aims to connect student and teacher.,"101,432",Latin America,,Active,2013-01-01,year,,,,,For Profit,http://www.learncafe.com,http://twitter.com/learncafe,http://www.facebook.com/learncafe,http://www.linkedin.com/company/learncafe/,contato@learncafe.com,+553125522233,,,"LearnCafe offers a distance learning portal which aims to connect student and teacher. It build a platform that makes it easy for anyone to build an online course. Instructors can use video, PowerPoint, PDFs, audio, zip files to quickly build a course and share their expertise.  Students can take courses across a great breadth of categories, including: business & entrepreneurship, academics, the arts, health & fitness, language, music, technology, games, and more. Some courses on Learncafe are free, but some are paid.",,,,,,,,,,,,,,"Education, Internet Services, Media and Entertainment, Software, Sports",2,"Brian McManus, José de Menezes",1-10,1,Seed,2013-02-01,500000,USD,500000,Angel,500000,USD,500000,Angel,500000,USD,500000,500000,USD,500000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"105,915",23,,,24,,,,,,,,
Studio 360,https://www.crunchbase.com/organization/studio-360-6451,"Commercial Real Estate, Real Estate, Software","Caxias Do Sul, Rio Grande do Sul, Brazil","Studio 360 is a proptech focused on easing the purchase experience for real state companies, brokers, and costumers.","101,817",Latin America,,Active,2017-09-12,day,,,,,For Profit,https://studio360tour.com,,https://www.facebook.com/studio360tour,https://www.linkedin.com/company/studio-360-tour,felipe@studio360tour.com,5554999455554,,,"Studio 360 is a prop tech focused on easing the purchase experience for real state companies, brokers, and costumers. It aims to bring together brokers, end customers, developers, and developers through an intuitive and innovative platform.  They propose a new experience to the real estate market, acting effectively in improving results. Their tool breaks down communication barriers and integrates new generations of property buyers, offering information and disclosures, in a real way, where and when needed. It was founded in 2017 and is headquartered in  Rio Grande do Sul, Brazil.",,,,,,,,,,,,,,"Real Estate, Software",,,1-10,1,Seed,2018-12-01,150000,BRL,38786,Angel,150000,BRL,38786,Angel,150000,BRL,38786,150000,BRL,38786,Ventiur Aceleradora,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,318",32,,,,,,,,,,,
Adwizard,https://www.crunchbase.com/organization/adwizard,"Digital Media, Marketing, Telecommunications","Belo Horizonte, Minas Gerais, Brazil",Adwizard is offers digital communications related services.,"101,853",Latin America,,Active,2016-10-14,day,,,,,For Profit,https://www.adwizard.com.br/,,,,contato@adwizard.com.br,,,,Adwizard is offers digital communications related services.,,,,,,,,,,,,,,"Hardware, Media and Entertainment, Sales and Marketing",,,1-10,1,Seed,2016-11-14,80000,BRL,23335,Seed,80000,BRL,23335,Seed,80000,BRL,23335,80000,BRL,23335,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,360",44,,,,,,,,,,,
iClinic,https://www.crunchbase.com/organization/iclinic,"Health Care, Medical, SaaS, Software","Ribeirão Prêto, Minas Gerais, Brazil",iClinic is the lead practice management platform for small and medium healthcare provider in Brazil.,"101,944",Latin America,,Active,2012-01-01,year,,,,,For Profit,https://iclinic.com.br/,https://twitter.com/iclinicapp,https://www.facebook.com/pg/iClinicApp/,https://www.linkedin.com/company/iclinic-software-medico/,support@iclinic.com.br,(11) 3514-5333,1,,"iClinic is a digital health company that is leading the digital transformation on independent practices in Brazil. By offering a complete end-to-end platform for practice management, the company helps doctors to improve and optimize their businesses and provide a better patient care. The company is the SaaS market leader in Brazil, having more than 20k users spread across the country. It's cloud based platform is composed by 4 core products: EMR, Calendar, Marketing and Billing. iClinic was founded on 2012 and is based in Ribeirão Preto, São Paulo, Brazil.",,,,,,,,,,,,,,"Health Care, Software",3,"Felipe Lourenço, Rafael Bouchabki, Renato Pedigoni",101-250,3,Early Stage Venture,2020-07-23,,,,Series B,,,,Series B,,,,,,,"Rockstart, SOFTBANK Latin America Ventures",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,454",87,3,,30,,,,,,,,
BeWooden,https://www.crunchbase.com/organization/bewooden,"E-Commerce, Fashion, Lifestyle, Manufacturing","Magda, Sao Paulo, Brazil",BeWooden designs and manufactures wooden fashion accessories for men and women.,"101,984",Latin America,$1M to $10M,Active,2012-01-01,year,,,,,For Profit,https://www.bewooden.com/,https://twitter.com/BeWooden_com,https://www.facebook.com/BeWooden/,https://www.linkedin.com/company/bewooden/,info@bewooden.cz, +420 604 181 862,,,"They seek inspiration from nature to give life to their products. They look to connect design, fashion and handicrafts. They are naturally drawn to wood and are always looking for new ways to use it. Every product is handmade from the highest quality wood. Their products are relatively small and we upcycle excess materials from craft works...",,,,,,,,,,,,,,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Design, Manufacturing",1,Ctirad Sára,11-50,1,Seed,2018-01-10,400000,EUR,478236,Seed,400000,EUR,478236,Seed,400000,EUR,478236,400000,EUR,478236,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,499",33,,,,,,,,,,,
Me Ajuda Limpeza,https://www.crunchbase.com/organization/me-ajuda-limpeza,Marketplace,"Salvador, Sao Paulo, Brazil","Me Ajuda Limpeza provides simple platform, dynamics, and safe business intermediation focused on simple pricing cleaning services.","102,047",Latin America,,Active,2017-03-06,day,,,,,For Profit,https://www.meajudalimpeza.com.br,,https://www.facebook.com/meajudalimpeza/,https://www.linkedin.com/company/me-ajuda-app/,contato@meajudaapp.com.br,557133874555,,,"Startup created to provide simple platform, dynamics, and safe business intermediation focused on simple pricing cleaning services. Initially home cleaning will be offered. Within the concept of Marketplace, professionals offer their services and customers choose according to the reviews, score and habilities. All this with secure payment by credit card and only after the service has been rendered!",,,,,,,,,,,,,,Commerce and Shopping,1,Andre Silva,1-10,1,Seed,2018-04-16,100000,BRL,29241,Pre-Seed,100000,BRL,29241,Pre-Seed,100000,BRL,29241,100000,BRL,29241,Cotidiano,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,563",33,,,,,,,,,,,
Proprietário Direto,https://www.crunchbase.com/organization/proprietariodireto,"Property Management, Real Estate","São Paulo, Sao Paulo, Brazil",Proprietário Direto is a platform that directly connects real estate sellers and buyers allowing a reduction in transaction costs and time.,"102,254",Latin America,Less than $1M,Active,2009-01-01,year,,,,,For Profit,http://www.proprietariodireto.com.br,http://twitter.com/propdireto,http://www.facebook.com/ProprietarioDireto,https://www.linkedin.com/company/propriet-riodireto,relacionamento@proprietariodireto.com.br,,1,,"Proprietário Direto is a platform that directly connects real estate sellers and buyers allowing a reduction in transaction costs and time. It operates as a real estate social network. Proprietario Direto offers clients an alternative to buy and sell real estate, through a safe and innovative platform. Proprietário Direto received the 2012 Wayra Brazil and was founded in 2009 and is headquartered in Sao Paulo, Brazil.",,,,,,,,,,,,,,Real Estate,2,"Edgard Faciola, Flavio Maeda",1-10,3,Seed,2013-12-01,201196,EUR,273429,Seed,201196,EUR,273429,Seed,393286,USD,393286,393286,USD,393286,Wayra,,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,785",56,,,26,,,,,,,,
Curupira,https://www.crunchbase.com/organization/curupira,"Environmental Engineering, Health Care, Internet, Service Industry, Software","Joinville, Santa Catarina, Brazil",Curupira develops and organizes corporate environmental projects.,"102,256",Latin America,$1M to $10M,Closed,2012-01-01,year,,,,none,For Profit,http://www.curupira.com/,http://twitter.com/CurupiraProject,http://www.facebook.com/curupiraproject/,http://www.linkedin.com/company/curupira/,guilherme.quandt@curupira.com,55 47 3461 9249,1,,"Curupira develops and organizes corporate environmental projects. It began operation in 2012, with its headquarters in Joinville in Brazil.",,,,,,,,,,,,,,"Health Care, Internet Services, Other, Science and Engineering, Software, Sustainability",,,1-10,1,Seed,2013-11-14,150000,BRL,64625,Pre-Seed,150000,BRL,64625,Pre-Seed,150000,BRL,64625,150000,BRL,64625,WOW Aceleradora,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,787",13,,,19,,,,,,,,
Boletão,https://www.crunchbase.com/organization/boletao,"Banking, Financial Services, FinTech, Payments","São Paulo, Sao Paulo, Brazil",Boletão is a fintech that offers a credit solution for payment of bank tickets.,"102,320",Latin America,,Active,2016-07-01,day,,,,,For Profit,http://www.boletao.com.br,,https://www.facebook.com/boletao/,https://www.linkedin.com/company/boletaobr,falecom@boletao.com.br,,,,"Boletão is a fintech that offers a credit solution for payment of bank tickets through an app. Boletão was founded in July 2016 and is headquartered in Sao Paulo, Brazil.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Payments",2,"Aline Santiago, Ariane Pelicioli",1-10,1,,2018-03-27,63000,USD,63000,Non-equity Assistance,,,,,,,,63000,USD,63000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,854",11,,,,,,,,,,,
ISP Flex,https://www.crunchbase.com/organization/isp-flex,"Internet, Internet of Things, ISP, Mobile, Mobile Advertising, Software, Wireless","Rio De Janeiro, Rio de Janeiro, Brazil",Telecom software and solutions developer. Providing a better future for ISP and costumers.,"102,424",Latin America,Less than $1M,Active,2015-12-31,day,,,,,For Profit,http://www.ispflex.com,http://www.twitter.com/ispflex,http://www.facebook.com/ispflex,https://www.linkedin.com/company/isp-flex/,contato@ispflex.com,+552139423050,,,"ISP Flex develops products with the following focus: - Expansion and improvement of mobile networks: Diffusion of the Wi-Fi infrastructure and enhancement of the cellular network - Service innovation – network interconnection: Making it feasible for the common user of the Internet (mobile or fixed) access by means of inter-connection of networks around the world, further generating economic synergy among providers, operators and enhancing the aggregate value of their product. - Total flexibility: application in virtually any type of installed network (air or land), being further compatible with different brands of hardware commonly used in such structures.",,,,,,,,,,,,,,"Advertising, Hardware, Internet Services, Mobile, Sales and Marketing, Software",1,Anesio Neto,1-10,1,Seed,2016-05-01,300000,BRL,87328,Angel,300000,BRL,87328,Angel,300000,BRL,87328,300000,BRL,87328,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"106,965",18,,,,,,,,,,,
Pontue,https://www.crunchbase.com/organization/pontue,"Consulting, Content Creators, E-Learning, Education","Ribeirão Prêto, Minas Gerais, Brazil",Pontue is an platform where users can have an innovative method of learning writing.,"102,461",Latin America,,Active,2017-01-01,year,,,,,For Profit,https://pontue.com.br/,https://twitter.com/pontuered,https://www.facebook.com/pg/pontuered/,https://www.linkedin.com/company/pontuee/about/,contato@pontue.com.br,(16) 98844-3940,,,Pontue is an platform where users can have an innovative method of learning writing.,,,,,,,,,,,,,,"Education, Media and Entertainment, Professional Services, Software",1,Cris Miura,,2,Seed,2021-02-18,,,,Non-equity Assistance,,,,Pre-Seed,,,,,,,"WE Impact, WE Impact",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,004",55,,,,,,,,,,,
Itau Unibanco,https://www.crunchbase.com/organization/banco-itau,"Banking, Finance, Financial Services","São Paulo, Sao Paulo, Brazil",Itau Unibanco is a universal bank with a range of services and products serving the most varied client profile.,"102,527",Latin America,,Active,1924-09-27,day,2005-03-01,month,,,,http://itau.com,http://twitter.com/itauunibanco_ri,,,,,113,,"Itaú is the largest Latin American bank and one of the largest banks¹ on the planet, with approximately 96,000 employees and operations in 20 countries throughout the Americas, Asia and Europe. Itaú is a universal bank with a range of services and products serving the most varied client profile – both individuals and companies of all sizes, from major transnational groups to local micro-entrepreneurs. In Brazil, Itaú have nearly 5,000 full-service branches and 28,000 ATMs.",,,3,3,1,1,1,,,,,,,"Financial Services, Lending and Investments",,,,,M&A,,,,,,,,,,,,,,,,,,,5,"Made Acquisitions, Was Acquired",Itau Unibanco acquired by E-CAPTURE,https://www.crunchbase.com/acquisition/e-capture-acquires-banco-itau--ded0a84c,E-CAPTURE,https://www.crunchbase.com/organization/e-capture,2005-03-01,month,,,,Acquisition,Cash,Private,,,,,,,,,,,,,,5,"107,073",14,,,5,0,32,,Insurance; financial affairs,,,,
OndaLocal,https://www.crunchbase.com/organization/ondalocal,"Advertising, Automotive, Internet, Local, Small and Medium Businesses","São Paulo, Sao Paulo, Brazil",OndaLocal is an online marketing company offering a complete and automated online marketing solution for small and medium sized businesses,"102,646",Latin America,Less than $1M,Active,2012-08-01,day,,,,,For Profit,http://www.ondalocal.com.br,http://twitter.com/ondalocalbrasil,http://www.facebook.com/OndaLocalBrasil,http://www.linkedin.com/company/ondalocal,presidente@ondalocal.com.br,+55 11 4063-4435,3,,"OndaLocal is an online marketing company that provides a complete and automated online marketing solution for small and medium sized businesses (> 3 million SMBs in Brazil) capturing new customer leads for its clients and supporting them in converting these leads into new business. Using proven technology from Germany, we create an optimized web presence for our clients and distribute it into all relevant online channels. We support your clients through our automated marketing platform to manage and develop the relationship with those potential customers and convert them into tangible new business. OndaLocal is the growth partner for SMBs in Brazil and Latin America. The Company offers a unique local digital marketing solution designed specifically  for the needs of SMBs, maximizing their visibility in multiple online marketing channels.  At an affordable price, the company offers a one-stop-shop online marketing service. Clients can monitor in real-time the leads generated and track their conversion in an online dashboard. The dashboard includes alerts of missed calls, call recordings and CRM functionality further driving new business. With this comprehensive solution, SMBs gain complete transparency of the results generated and the value generated. With an innovative technology platform, OndaLocal assumes all online marketing activities in an efficient and optimized way. It takes care of the complete management of its clients’ online presence and campaign so that they can focus 100% on expansion and growth of their business.",,,,,,,,,,,,,,"Advertising, Internet Services, Other, Sales and Marketing, Transportation",5,"Bruno Torres, Jairo Mandelbaum, Johannes Noebels, Pierre Burban, Samuel Artmann",51-100,4,Seed,2015-02-15,,,,Seed,,,,Seed,1600000,USD,1600000,1600000,USD,1600000,"Polaris Investimentos, Rigi Ventures",1,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,205",25,,,9,,,,,,,,
Doutíssima,https://www.crunchbase.com/organization/doutissima,"E-Commerce, Information Services, Web Hosting","Brasil, Sao Paulo, Brazil","The Doutissima.com.br is a website specially dedicated to the Brazilian public, with the goal of informing, caring, alert and give tips","102,653",Latin America,,Active,2013-01-01,year,,,,,For Profit,http://doutissima.com.br,,,,,,,,"The Doutissima.com.br is a website specially dedicated to the Brazilian public, with the goal of informing, caring, alert and give tips about health, beauty and wellness.",,,,,,,,,,,,,,"Commerce and Shopping, Information Technology, Internet Services",,,1-10,1,Seed,2014-01-31,1000000,EUR,1348914,Seed,1000000,EUR,1348914,Seed,1000000,EUR,1348914,1000000,EUR,1348914,"Telefonica, Wayra, Draper Esprit, Breega",1,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,212",1,,,8,,,,,,,,
POPSPACES,https://www.crunchbase.com/organization/popspaces,"Marketplace, Real Estate, Rental, Retail","São Paulo, Sao Paulo, Brazil","POPSPACES is a peer-to-peer marketplace for booking spaces for pop-up stores, experiential marketing campaigns and productions.","102,689",Latin America,,Active,2018-02-26,day,,,,,For Profit,http://www.popspaces.com,,https://www.facebook.com/popspacesbr,https://www.linkedin.com/company/popspacesbr/,contato@popspaces.com.br,+5511930503055,,,"Simplify. This is our favorite word. We believe in a lease process that doesn’t take up too much of your time and not only allows retail markets to become increasingly accessible but goes further and promotes incredible experiences for consumers. So why not join the forces of the real estate and retail markets and facilitate their connection so that brands are able to implement their projects at the same time as property owners earn through their empty spaces? That is how POPSPACES arose, as a platform to help people and brands to find the right place to get great ideas off the drawing board. We provide suggestions and, by means of short-term leases, it’s possible to find the ideal space for your needs: pop-up stores, showrooms and events. All is done quickly, easily and safely. So, let’s find your perfect space?",,,,,,,,,,,,,,"Commerce and Shopping, Real Estate",1,Yuri Saiovici,1-10,2,Seed,2019-02-15,50000,USD,50000,Pre-Seed,50000,USD,50000,Pre-Seed,150000,USD,150000,150000,USD,150000,"Plug and Play, Porto Seguro",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,251",8,,,,0,0,,Advertising; business,,,,
Prepona,https://www.crunchbase.com/organization/prepona,"Delivery, Information Technology, Test and Measurement","Rio De Janeiro, Rio de Janeiro, Brazil",Prepona prepares and delivers computer-based exams on behalf of a growing number of certifying bodies.,"102,967",Latin America,Less than $1M,Active,2000-07-24,day,,,,,For Profit,http://www.prepona.com/en/about/,,,https://www.linkedin.com/company/prepona-s.a.,info@prepona.com,+55 11 2729-3069,,,Prepona prepares and delivers computer-based exams on behalf of a growing number of certifying bodies. Prepona also provides clients and partners with a full range of advanced software and specialist tools for managing all their needs - from content and test-centre management to handling appeals from candidates.,,,,,,,,,,,,,,"Administrative Services, Data and Analytics, Information Technology",,,1-10,1,,2015-05-01,3400000,BRL,1130985,Venture - Series Unknown,3400000,BRL,1130985,Venture - Series Unknown,3400000,BRL,1130985,3400000,BRL,1130985,Crescera Investimentos (f/k/a Bozano Investimentos),1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,543",28,,,,,,,,,,,
Aentropico,https://www.crunchbase.com/organization/aentropico,"Analytics, Big Data, Business Intelligence, Predictive Analytics","Rio De Janeiro, Rio de Janeiro, Brazil",Aentropico offers a predictive analytics platform that allows businesses to get predictive insights into their daily business activities.,"103,094",Latin America,,Closed,2012-02-01,day,,,2014-12-31,day,For Profit,http://aentropi.co,http://twitter.com/aentropico,http://www.facebook.com/aentropico,http://www.linkedin.com/company/aentropico,info@aentropi.co,+56963286028,6,,"AENTROPICO is building a predictive analytics platform that empowers managers to take informed decisions in a simple and intuitive manner. They combine the best user experience with top-notch applied statistics, in order to bring useful algorithms to non-tech users. In the process, they built a large marketplace of solutions for industry specific questions for decision makers. Tapping the growing interest of Big Data in the Brazilian Market, their vision is to become the Amazon for Data Science. AENTROPICO has run paid pilot projects in Colombia and Mexico for up to 40K across 3 different industries, and is pushing towards recurrent billing projects with the release of their beta platform.",,,,,,,,,,,,,,"Artificial Intelligence, Data and Analytics, Software",2,"Juan Pablo Marín Díaz, Sebastian Perez Saaibi",1-10,5,Seed,2013-11-01,,,,Grant,25000,USD,25000,Seed,415000,USD,415000,503418,USD,503418,"MassChallenge, Start-Up Chile, NXTP Ventures, 21212",,4,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,677",2,,,12,,,,,,,,
Pagar.me,https://www.crunchbase.com/organization/pagar-me,"E-Commerce, Internet, SaaS","São Paulo, Sao Paulo, Brazil","Pagar.me develops a payment processor system, providing a full payment service for merchants who want to accept payments online.","103,237",Latin America,,Closed,2013-02-15,day,,,2016-09-01,month,For Profit,http://pagar.me,http://twitter.com/pagar_me,http://www.facebook.com/pagar.me,http://www.linkedin.com/company/pagar-me,contato@pagar.me,55 11 3071 1451,4,,"Pagar.me is Brazil’s first developer friendly payment processor. They provide a full payment service for merchants who want to accept payments online, from affiliating to an acquirer to the anti-fraud protection. The company was founded in 2013 and is headquartered in São Paulo, Alagoas, Brazil.",,,,,,,,,,,,,,"Commerce and Shopping, Internet Services, Software",2,"Henrique Dubugras, Pedro Franceschi",11-50,2,,2015-06-02,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,"GRID Investments, ArpexCapital",,2,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"107,826",73,,,27,,,,,,,,
TARGET BRAZIL,https://www.crunchbase.com/organization/target-brazil,E-Commerce,"Curitiba, Parana, Brazil",Target Brazil is an exporter of ox gallstones.,"103,251",Latin America,,Closed,2011-01-01,year,,,2013-07-01,day,For Profit,http://target-brl.com,,,,,55-17-3322-8666,,,Target Brazil is the largest global exporter of ox gallstones in Brazil.,,,,,,,,,,,,,,Commerce and Shopping,,,,1,,2012-01-11,6000000,USD,6000000,Venture - Series Unknown,6000000,USD,6000000,Venture - Series Unknown,6000000,USD,6000000,6000000,USD,6000000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,840",1,,,,,,,,,,,
3Cariocas,https://www.crunchbase.com/organization/3cariocas,"Food and Beverage, Internet","Botafogo, Rio de Janeiro, Brazil","3Cariocas is a bold and creative artisan brewery, aiming to break society's paradigms through unique beers and moments.","103,311",Latin America,,Active,2013-01-01,year,,,,,For Profit,http://3cariocas.rio/en/home,https://twitter.com/3cariocas,,https://www.linkedin.com/company/3cariocas/,,,,,"3Cariocas is a bold and creative artisan brewery, aiming to break society's paradigms through unique beers and moments.",,,,,,,,,,,,,,"Food and Beverage, Internet Services",,,1-10,1,,2018-06-28,2000000,BRL,517719,Equity Crowdfunding,2000000,BRL,517719,Equity Crowdfunding,2000000,BRL,517719,2000000,BRL,517719,EqSeed,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"107,905",2,,,,,,,,,,,
Clube Orgânico,https://www.crunchbase.com/organization/clube-organico-2,"Agriculture, Farming, Organic Food","Rio De Janeiro, Rio de Janeiro, Brazil",Clube Orgânico is a platform connects customers directly to local farmers.,"103,397",Latin America,Less than $1M,Active,2014-01-01,year,,,,,For Profit,http://clubeorganico.com/,https://twitter.com/clubeorganicorj,https://www.facebook.com/clubeorganicorj,https://www.linkedin.com/company/clube-org%C3%A2nico,plante@clubeorganico.com,+552139060145,2,,Clube Orgânico is a platform connects customers directly to local farmers. It aims to build local communities to support and be supported by organic farmers. Clube Orgânic was launched as a pilot project in September 2014 and was officially launched in April 2015.,,,,,,,,,,,,,,"Agriculture and Farming, Food and Beverage",2,"Eduardo Boorhem, Victor Piranda",1-10,2,Seed,2015-01-31,100000,USD,100000,Angel,100000,USD,100000,Angel,106000,USD,106000,106000,USD,106000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"107,997",32,,,20,,,,,,,,
Sintecsys,https://www.crunchbase.com/organization/sintecsys,"Information Services, Software","Jundiaí, Parana, Brazil","Sintecsys offers a fast and effective detection, reducing losses and costs with fire brigades.","103,509",Latin America,,Active,2016-01-01,year,,,,,For Profit,https://sintecsys.com/en/home-v8-en/,,https://www.facebook.com/sintecsys/,https://www.linkedin.com/company/sintecsys/,imprensa@sintecsys.com,55 11 2816-0966,1,,"Sintecsys offers a fast and effective detection, reducing losses and costs with fire brigades. Sintecsys has developed unique algorithms in its equipment so that you do not depend on any type of external signal, thus facilitating and optimizing the data capture. Proprietary software with automatic smoke detection algorithm in its early stages and motion detection for field surveillance.This algorithm is used together with a special imaging device, detecting smoke signals at a distance of 15km with safety.",,,,,,,,,,,,,,"Information Technology, Software",2,"Matthew Paiva, Rogerio Cavalcante",11-50,1,,2020-12-09,740000,BRL,143105,Debt Financing,,,,,,,,740000,BRL,143105,SITAWI Finance for Good,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,115",,,,,,,,,,,,
RT Medical Systems,https://www.crunchbase.com/organization/rt-medical-systems,"Electronic Health Record (EHR), Health Care, Medical, Medical Device, Software","Florianópolis, Santa Catarina, Brazil","RT Medical Systems offers management systems, centralization of information, and verification of radiotherapy treatment.","103,559",Latin America,,Active,2017-05-01,month,,,,,For Profit,https://rtmedical.com.br/,,https://INSTAgram.com/RTmsystems,https://www.linkedin.com/company/rtmedical/,contato@rtmedical.com.br,,7,,"RT Medical Systems is a Startup based in Florianópolis, Brazil. Our mission is to integrate radiotherapy services by simplifying complex workflows by making technology more accessible to physicians and their patients. Bringing science, technology, clinical intelligence together, we are working with doctors and researchers for a future where everyone can benefit from simplified access and sharing of clinical information. Product: RT Connect is an image centering, archiving and communication system designed to facilitate the workflow of oncology or other clinical specialties, enabling the comparison of medical image data from different modalities. Cloud baesd, which enables users to access from any mobile or tablet device. Data from local servers can be accessed over the Internet, enabling the sharing and receiving of images and treatment plans of patients referred from other radiotherapy services, as well as the import and export of files to different radiation treatment planning systems (TPS) and commercially available PACS devices. The system centralizes the storage of treatment plans, facilitating the use in radiotherapy services that have different TPS. With it, the user can review treatment plans in one place. Contours, isodose curves, DVH, beam angles, beam vision, and DRR vision, as well as providing users with the means to display, merge, perform independent secondary monitor unit check and patient alignment and anatomy analysis in radiation.",,,,,,,,,,,,,,"Health Care, Software",2,"Carlos Queiroz, PEDRO PIEDADE",1-10,1,Seed,2018-07-04,109000,USD,109000,Pre-Seed,109000,USD,109000,Pre-Seed,109000,USD,109000,109000,USD,109000,,,,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,172",37,,,,,,,,,,,
EcoSynth,https://www.crunchbase.com/organization/ecosynth,"Water, Water Purification","Valinhos, Sao Paulo, Brazil","Ecosynth is focused on water purification, sewage removal, sewage plants and oil filtration services.","103,655",Latin America,Less than $1M,Active,2011-01-03,day,,,,,For Profit,http://www.ecosynth.com.br/engl/default.asp,,,,,55 11 2574 6181,,,"Ecosynth is focused on water purification, sewage removal, sewage plants, and oil filtration services. It offers ATM, an adjunct in reducing the volume of sludge generated. Ecosynth is based in São Paulo, Brazil.",,,,,,,,,,,,,,"Natural Resources, Sustainability",1,Eduardo Conchon,1-10,2,Early Stage Venture,2013-10-01,3000000,BRL,1349428,Series A,3000000,BRL,1349428,Series A,3000000,BRL,1349428,3000000,BRL,1349428,KPTL,1,1,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"108,273",1,,,,,,,,,,,
